company_id,company_slug,batch,batch_code,year,tag
22705,joinsub,Winter 2021,W21,2021,Fintech
22705,joinsub,Winter 2021,W21,2021,B2B
22705,joinsub,Winter 2021,W21,2021,Subscriptions
23638,journey,Winter 2021,W21,2021,SaaS
23638,journey,Winter 2021,W21,2021,B2B
23638,journey,Winter 2021,W21,2021,AI
23052,juicy-marbles,Winter 2021,W21,2021,Climate
23052,juicy-marbles,Winter 2021,W21,2021,ClimateTech
22823,june,Winter 2021,W21,2021,Analytics
22823,june,Winter 2021,W21,2021,Data Visualization
23635,kanda,Winter 2021,W21,2021,Fintech
23635,kanda,Winter 2021,W21,2021,SaaS
23635,kanda,Winter 2021,W21,2021,Proptech
23302,kidato,Winter 2021,W21,2021,Education
23302,kidato,Winter 2021,W21,2021,eLearning
23597,kilobaser,Winter 2021,W21,2021,Hard Tech
23597,kilobaser,Winter 2021,W21,2021,Hardware
23597,kilobaser,Winter 2021,W21,2021,Medical Devices
23290,kitemaker,Winter 2021,W21,2021,Developer Tools
23290,kitemaker,Winter 2021,W21,2021,Productivity
23290,kitemaker,Winter 2021,W21,2021,Team Collaboration
23290,kitemaker,Winter 2021,W21,2021,Remote Work
23661,kiwify,Winter 2021,W21,2021,eLearning
22844,kodo,Winter 2021,W21,2021,Fintech
22709,krab,Winter 2021,W21,2021,Fintech
22709,krab,Winter 2021,W21,2021,SaaS
22857,kredi,Winter 2021,W21,2021,Fintech
22857,kredi,Winter 2021,W21,2021,Latin America
22857,kredi,Winter 2021,W21,2021,Lending
22846,lalabox,Winter 2021,W21,2021,Consumer
22846,lalabox,Winter 2021,W21,2021,E-commerce
23220,lamar-health,Winter 2021,W21,2021,Health Tech
23220,lamar-health,Winter 2021,W21,2021,AI
22741,laudspeaker,Winter 2021,W21,2021,SaaS
22741,laudspeaker,Winter 2021,W21,2021,B2B
22741,laudspeaker,Winter 2021,W21,2021,Open Source
22741,laudspeaker,Winter 2021,W21,2021,Automation
23085,launcher-labs,Winter 2021,W21,2021,Crypto / Web3
23085,launcher-labs,Winter 2021,W21,2021,Consumer
22833,lendflow,Winter 2021,W21,2021,Lending
22969,lighttwist,Winter 2021,W21,2021,Augmented Reality
22969,lighttwist,Winter 2021,W21,2021,Computer Vision
22969,lighttwist,Winter 2021,W21,2021,Design Tools
22693,lion-pose,Winter 2021,W21,2021,Consumer
22693,lion-pose,Winter 2021,W21,2021,Healthcare
22693,lion-pose,Winter 2021,W21,2021,Beauty
22693,lion-pose,Winter 2021,W21,2021,E-commerce
22906,liveflow,Winter 2021,W21,2021,Finance
22906,liveflow,Winter 2021,W21,2021,AI
22869,logica,Winter 2021,W21,2021,FinOps
22869,logica,Winter 2021,W21,2021,Fintech
22869,logica,Winter 2021,W21,2021,SaaS
22974,logisticsos,Winter 2021,W21,2021,SaaS
22974,logisticsos,Winter 2021,W21,2021,Delivery
22974,logisticsos,Winter 2021,W21,2021,Logistics
22974,logisticsos,Winter 2021,W21,2021,API
22974,logisticsos,Winter 2021,W21,2021,Cloud Computing
23269,lunatic,Winter 2021,W21,2021,Developer Tools
23269,lunatic,Winter 2021,W21,2021,SaaS
23269,lunatic,Winter 2021,W21,2021,Open Source
22659,lygg,Winter 2021,W21,2021,Anti-Aging
22659,lygg,Winter 2021,W21,2021,Beauty
23327,machine26,Winter 2021,W21,2021,Marketplace
23327,machine26,Winter 2021,W21,2021,Construction
23613,magicbell,Winter 2021,W21,2021,Developer Tools
23613,magicbell,Winter 2021,W21,2021,SaaS
23193,manara,Winter 2021,W21,2021,Education
23193,manara,Winter 2021,W21,2021,Edtech
22948,marcopolo,Winter 2021,W21,2021,Marketplace
22948,marcopolo,Winter 2021,W21,2021,B2B
23541,mayan,Winter 2021,W21,2021,SaaS
23541,mayan,Winter 2021,W21,2021,Analytics
23541,mayan,Winter 2021,W21,2021,E-commerce
22885,measured,Winter 2021,W21,2021,Consumer Health Services
22885,measured,Winter 2021,W21,2021,E-commerce
22885,measured,Winter 2021,W21,2021,Subscriptions
22663,medme-health,Winter 2021,W21,2021,SaaS
22663,medme-health,Winter 2021,W21,2021,B2B
22663,medme-health,Winter 2021,W21,2021,Digital Health
22663,medme-health,Winter 2021,W21,2021,Healthcare
22663,medme-health,Winter 2021,W21,2021,Healthcare IT
23518,meetanyway,Winter 2021,W21,2021,SaaS
23518,meetanyway,Winter 2021,W21,2021,B2B
23518,meetanyway,Winter 2021,W21,2021,Social
23240,mendel,Winter 2021,W21,2021,Fintech
23240,mendel,Winter 2021,W21,2021,B2B
23642,meru-com,Winter 2021,W21,2021,Fintech
23642,meru-com,Winter 2021,W21,2021,Marketplace
23437,mezli,Winter 2021,W21,2021,Food Service Robots & Machines
23437,mezli,Winter 2021,W21,2021,Ghost Kitchens
23437,mezli,Winter 2021,W21,2021,Robotics
23050,milk-video,Winter 2021,W21,2021,Machine Learning
23050,milk-video,Winter 2021,W21,2021,Design Tools
23050,milk-video,Winter 2021,W21,2021,Video
23521,mindportal,Winter 2021,W21,2021,Artificial Intelligence
23521,mindportal,Winter 2021,W21,2021,Neurotechnology
23521,mindportal,Winter 2021,W21,2021,AI
22855,mindee,Winter 2021,W21,2021,Artificial Intelligence
22855,mindee,Winter 2021,W21,2021,Deep Learning
22855,mindee,Winter 2021,W21,2021,Developer Tools
22855,mindee,Winter 2021,W21,2021,Automation
22855,mindee,Winter 2021,W21,2021,APIs
22676,modernloop,Winter 2021,W21,2021,B2B
22676,modernloop,Winter 2021,W21,2021,Recruiting
22676,modernloop,Winter 2021,W21,2021,Productivity
22676,modernloop,Winter 2021,W21,2021,HR Tech
22676,modernloop,Winter 2021,W21,2021,Remote Work
22700,moichor,Winter 2021,W21,2021,Diagnostics
23265,mono,Winter 2021,W21,2021,Fintech
23304,moonshot-brands,Winter 2021,W21,2021,E-commerce
23261,morada-uno,Winter 2021,W21,2021,Real Estate
23261,morada-uno,Winter 2021,W21,2021,Insurance
23261,morada-uno,Winter 2021,W21,2021,Latin America
23202,moxion-power-co,Winter 2021,W21,2021,Energy Storage
23202,moxion-power-co,Winter 2021,W21,2021,Climate
23202,moxion-power-co,Winter 2021,W21,2021,Energy
23202,moxion-power-co,Winter 2021,W21,2021,Renewable Energy
23202,moxion-power-co,Winter 2021,W21,2021,Electric Vehicles
23568,my-nextderma,Winter 2021,W21,2021,Consumer Health Services
23568,my-nextderma,Winter 2021,W21,2021,Telemedicine
23430,mystic,Winter 2021,W21,2021,AIOps
23430,mystic,Winter 2021,W21,2021,Artificial Intelligence
23430,mystic,Winter 2021,W21,2021,Developer Tools
23430,mystic,Winter 2021,W21,2021,Machine Learning
23185,mythia,Winter 2021,W21,2021,Fintech
