batch,rank,subindustry,share_pct,count
Winter 2017,4,Real Estate and Construction -> Housing and Real Estate,4.31,5
Winter 2017,5,Consumer,3.448,4
Winter 2017,6,Healthcare -> Healthcare IT,3.448,4
Winter 2017,7,B2B -> Infrastructure,3.448,4
Winter 2017,8,Industrials -> Manufacturing and Robotics,3.448,4
Winter 2017,9,B2B -> Retail,2.586,3
Winter 2017,10,B2B -> Marketing,2.586,3
Winter 2017,11,B2B -> Human Resources,2.586,3
Winter 2017,12,Consumer -> Social,2.586,3
Winter 2017,13,Healthcare -> Healthcare Services,2.586,3
Winter 2017,14,Industrials -> Agriculture,2.586,3
Winter 2017,15,Unspecified,2.586,3
Winter 2017,16,Healthcare -> Consumer Health and Wellness,2.586,3
Winter 2017,17,B2B -> Sales,2.586,3
Winter 2017,18,"B2B -> Engineering, Product and Design",2.586,3
Winter 2017,19,Consumer -> Food and Beverage,2.586,3
Winter 2017,20,Education,1.724,2
Summer 2017,1,Consumer -> Social,7.2,9
Summer 2017,2,Healthcare -> Diagnostics,4.8,6
Summer 2017,3,Education,4.8,6
Summer 2017,4,B2B -> Recruiting and Talent,4.0,5
Summer 2017,5,Healthcare -> Healthcare IT,4.0,5
Summer 2017,6,"B2B -> Engineering, Product and Design",4.0,5
Summer 2017,7,Consumer -> Gaming,3.2,4
Summer 2017,8,Fintech -> Insurance,3.2,4
Summer 2017,9,Industrials -> Climate,3.2,4
Summer 2017,10,Government,3.2,4
Summer 2017,11,Healthcare -> Consumer Health and Wellness,3.2,4
Summer 2017,12,Fintech -> Payments,2.4,3
Summer 2017,13,B2B -> Retail,2.4,3
Summer 2017,14,Consumer -> Home and Personal,2.4,3
Summer 2017,15,Consumer -> Food and Beverage,2.4,3
Summer 2017,16,B2B -> Productivity,2.4,3
Summer 2017,17,B2B -> Security,2.4,3
Summer 2017,18,Real Estate and Construction -> Housing and Real Estate,2.4,3
Summer 2017,19,Industrials -> Aviation and Space,2.4,3
Summer 2017,20,Consumer -> Transportation Services,1.6,2
Winter 2018,1,"B2B -> Engineering, Product and Design",8.904,13
Winter 2018,2,Consumer -> Content,4.11,6
Winter 2018,3,Consumer -> Food and Beverage,4.11,6
Winter 2018,4,Healthcare -> Healthcare IT,4.11,6
Winter 2018,5,Healthcare -> Healthcare Services,4.11,6
Winter 2018,6,Consumer -> Social,3.425,5
Winter 2018,7,B2B -> Security,3.425,5
Winter 2018,8,B2B -> Productivity,3.425,5
Winter 2018,9,Healthcare -> Therapeutics,3.425,5
Winter 2018,10,B2B -> Marketing,2.74,4
Winter 2018,11,Consumer -> Gaming,2.74,4
Winter 2018,12,Education,2.74,4
Winter 2018,13,B2B -> Human Resources,2.74,4
Winter 2018,14,B2B -> Recruiting and Talent,2.74,4
Winter 2018,15,Industrials -> Manufacturing and Robotics,2.74,4
Winter 2018,16,Consumer -> Home and Personal,2.055,3
Winter 2018,17,B2B -> Legal,2.055,3
Winter 2018,18,B2B -> Retail,2.055,3
